Warrants
A.P. Mller - Mrsk B
ABB Ltd
AQ Group
ASSA ABLOY B
AUD/USD
Africa Oil
Alfa Laval
Alphabet Inc Class C
Amazon.com Inc
Apple Inc
AstraZeneca
Atlas Copco A
Atlas Copco B
Autoliv SDB
Avanza Bank Holding
Axfood
Berkshire Hathaway Inc Class B
Betsson B
Bilia A
BillerudKorsnas
BioArctic B
Boliden
Bonava B
Boule Diagnostics
Castellum
Catena Media
Clas Ohlson B
Climeon B
Collector
Com Hem Holding
DAX
Danske Bank
Dios Fastigheter
Dow Jones
EUR/JPY Spot SIX
EUR/NOK
EUR/SEK
EUR/USD
Electrolux B
Elekta B
Epiroc A
Ericsson B
Essity B
Evolution Gaming Group
Fabege
Facebook Inc
Fast Partner
Fast. Balder B
Fingerprint Cards B
Funcom
G4S plc
G5 Entertainment
GBP/SEK
GBP/USD
Genmab
Getinge B
Global Gaming 555
GomSpace Group
Guld
HEXPOL B
Handelsbanken A
Handelsbanken B
Hansa Medical
Hennes & Mauritz B
Hexagon B
Holmen B
Hufvudstaden A
Husqvarna B
ICA Gruppen
Immunovia
Industrivarden C
Intrum
Investor B
Invisio Communications
JM
Kambi Group Plc
Karo Pharma
Kindred Group
Kinnevik B
Klovern B
Koppar
Kungsleden
Latour B
LeoVegas
Lundbergforetagen B
Lundin Mining Corporation
Lundin Petroleum
MINI L KINNEVIK AVA 5
Magnolia Bostad
Marine Harvest
Millicom Int. Cellular SDB
Moberg Pharma
Modern Times Group B
Mr Green & Co
Mycronic
NASDAQ 100 Index
NCC B
Neste Oyj
Net Insight B
NetEnt B
Netflix Inc
Nikkei
Nobina
Nokia Oyj
Nokian Renkaat Oyj
Nolato B
Nordea Bank
Norwegian Air Shuttle
Novo Nordisk B
OBX-indeks
OMX Stockholm 30
Olja
Opus Group
Oscar Properties Holding
Outokumpu Oyj
Palladium
Pandora
Paradox Interactive
Peab B
Platina
PowerCell Sweden
Precise Biometrics
Probi
Radisson Hospitality
Ratos B
Recipharm B
Resurs Holding
SAAB B
SAS
SCA B
SEB A
SKF B
SSAB A
SaltX Technology Holding B
Sandvik
ScandiDos
Schibsted ser. A
Securitas B
Sedana Medical
SenzaGen
Silver
Skanska B
Spotify Technology SA
Starbreeze B
Stillfront Group
Stora Enso A
Stora Enso R
Subsea 7
Swedbank A
Swedish Match
Swedish Orphan Biovitrum
THQ Nordic B
Tele2 B
Telia Company
Tesla Inc
Tobii
Tomra Systems
Trelleborg B
USD/CAD
USD/JPY
USD/SEK
VBG GROUP B
Vestas Wind Systems
Volvo A
Volvo B
Wihlborgs Fastigheter
Xvivo Perfusion
